Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
BKI,Kota Kinabalu International,2114633.99,Malaysia,5.94080019,116.0500031
BTU,Bintulu Airport,2036.51,Malaysia,3.174999952,113.0430985
IPH,Sultan Azlan Shah,180946.08,Malaysia,4.566899777,101.0958023
JHB,Senai Intl,401942.079,Malaysia,1.638900042,103.6707993
KBR,Sultan Ismail Petra,13258.98,Malaysia,6.165299892,102.293602
KCH,Kuching International,360106.964,Malaysia,1.484200001,110.3407974
KUA,Sultan Haji Ahmad Shah,25582.032,Malaysia,3.772200108,103.2102966
KUL,Kuala Lumpur International Airport,28518939.4,Malaysia,2.745599985,101.7098999
LBU,Labuan,701.946,Malaysia,5.300600052,115.2482987
LGK,Langkawi International,234116.323,Malaysia,6.366700172,99.83329773
MKZ,Malacca,26205.984,Malaysia,2.264199972,102.2533035
MYY,Miri,63175.14,Malaysia,4.455299854,114.0008011
MZV,Mulu,4991.616,Malaysia,4.066699982,114.9332962
PEN,Penang International,2612266.041,Malaysia,5.289700031,100.2724991
PKG,Pangkor Airport,14558.88,Malaysia,4.244800091,100.5538025
RDN,Redang Island,4549.65,Malaysia,5.765299797,103.006897
SBW,Sibu,2036.51,Malaysia,2.341700077,111.8383026
SDK,Sandakan,2443.812,Malaysia,5.900000095,118.0597
SZB,Sultan Abdul Aziz Shah,136333.512,Malaysia,3.129699945,101.5519028
TGG,Sultan Mahmud,14038.92,Malaysia,5.381100178,103.1097031
TOD,Tioman Island,3249.75,Malaysia,2.819400072,104.1619034
TWU,Tawau,13050.996,Malaysia,4.264200211,117.884697
ZGY,Kuching Port,96469.912,Malaysia,1.549999952,110.3833008
